n,input,version,time
1000,random,Det,0.002486090018993765
1000,random,Rand,0.002883500012103468
1000,sorted,Det,0.08001350000626785
1000,sorted,Rand,0.002732300002494529
1000,reverse,Det,1.0789009999877934
1000,reverse,Rand,0.003284799998279363
3000,random,Det,0.006951200001924544
3000,random,Rand,0.009179699999613404
3000,sorted,Det,0.7327321000004796
3000,sorted,Rand,0.008804500003414971
3000,reverse,Det,0.5173441999994113
3000,reverse,Rand,0.008384800004012163
5000,random,Det,0.012976199999058637
5000,random,Rand,0.016918000004415235
5000,sorted,Det,2.079820800002829
5000,sorted,Rand,0.014673000001405128
5000,reverse,Det,1.420837500000243
5000,reverse,Rand,0.015674300002614855
